Electronic_ratio,Metal_ratio,Rock_ratio,Jazz_ratio,World_ratio,Rap_ratio,usrId,user_id
0.0083638264506011,0.0198640878201777,0.7004704652378463,0.0245687401986408,0.0062728698379508,0.007318348144276,42.0,42
0.2104008071173071,0.0024763826469778,0.2421351921489498,0.0494359350637439,0.070255892873521,0.0251306979730349,50.0,50
0.0350404312668463,0.0233602875112309,0.2434860736747529,0.0260557053009883,0.0184186882300089,0.0242587601078167,10.0,10
0.4194761870963163,0.0294556036624316,0.0676414223862587,0.0063169848818226,0.0219320036908226,0.0413797998438498,22.0,22
0.5261584454409567,0.0,0.2077727952167414,0.0119581464872944,0.0014947683109118,0.0134529147982062,53.0,53
0.2451137455943607,0.0012816404998397,0.1537968599807753,0.0237103492470362,0.1614867029798141,0.1813521307273309,11.0,11
0.1306141695155016,0.0004715312978898,0.0793351408699752,0.0076623835907108,0.0011788282447247,0.0345396675704349,8.0,8
0.213884041109172,0.002326934264107,0.3814233081248788,0.1027729299980608,0.0230754314523948,0.0219119643203412,20.0,20
0.1320259149010681,0.0414988618455611,0.6998774295219752,0.0038522150236385,0.0001751006828926,0.0052530204867798,51.0,51
0.0496928327645051,0.0020477815699658,0.1909897610921501,0.0674402730375426,0.0955631399317406,0.2110580204778157,56.0,56
0.6412865113226124,0.0013127666557269,0.0718739744010502,0.1985559566787003,0.0026255333114538,0.0259271414506071,34.0,34
0.1700233199067203,0.0080559677761288,0.1640873436506254,0.0112359550561797,0.014627941488234,0.0850116599533601,39.0,39
0.0155080213903743,0.0128342245989304,0.0647058823529411,0.006951871657754,0.0005347593582887,0.009090909090909,48.0,48
0.0816505706760316,0.0021949078138718,0.7352941176470589,0.0017559262510974,0.0004389815627743,0.0338015803336259,33.0,33
0.0394340519974635,0.0003963221306277,0.155437539632213,0.0043595434369055,0.0041217501585288,0.0197764743183259,54.0,54
0.1353255587949465,0.0002429543245869,0.1537900874635568,0.0172497570456754,0.032555879494655,0.2210884353741496,36.0,36
0.1710660937180274,0.0203089830161653,0.1613975854307346,0.0012789032126048,0.0010231225700838,0.0526908123593206,15.0,15
0.0847868217054263,0.002906976744186,0.5726744186046512,0.002422480620155,0.003875968992248,0.0096899224806201,19.0,19
0.047867298578199,0.0028436018957345,0.1105845181674565,0.222432859399684,0.1486571879936808,0.0794628751974723,47.0,47
0.1775372916057326,0.0035097981866042,0.1042215072633323,0.0249585648825192,0.2041532611874817,0.1600857950667836,4.0,4
0.1509201445941505,0.0052579691094314,0.1117318435754189,0.0015609595793624,0.0719684521853434,0.0322872165626026,29.0,29
0.1484347520225114,0.0070348223707351,0.254660569820612,0.0464298276468519,0.0415054519873373,0.028842771720014,17.0,17
0.1683140355831686,0.016756095264991,0.1107973265555869,0.0154382001317895,0.0174150428315918,0.0795443848253789,63.0,63
0.3317384370015949,0.0005316321105794,0.0430622009569378,0.101010101010101,0.06113769271664,0.1780967570441254,49.0,49
0.0210979249080435,0.5239086681934901,0.3496425844958012,6.940106877645916e-05,0.0009022138940939,0.0234575612464431,21.0,21
0.1097046413502109,0.0379746835443038,0.0534458509142053,0.0119549929676511,0.0365682137834036,0.1610407876230661,31.0,31
0.0521088610860312,0.0011608409647878,0.2886624532439056,0.0043853992003095,0.1692248162001805,0.0857732490648781,26.0,26
0.1707104776411707,0.0007616146230007,0.0913937547600914,0.0153410945490153,0.0868240670220868,0.0278533347840278,64.0,64
0.0795910184442662,0.0105252606255012,0.5660585404971933,0.0151363271852445,0.0160384923817161,0.0897153167602245,45.0,45
0.0128897618463049,0.0,0.0028234716425239,0.0002455192732629,0.040019641541861,0.874539651362632,38.0,38
